InvoiceId,InvoiceDate,InvoiceAmount,CustomerId,ProductId,SalesRepId
2050,4/1/2019,180.4,1653,1,1
2051,4/1/2019,103.6,1654,2,2
2052,4/1/2019,164.75,1655,3,3
2053,4/1/2019,158.45,1656,4,4
2054,4/1/2019,125.9,1657,5,5
2055,4/1/2019,49.95,1658,6,6
2056,4/1/2019,524.35,1659,7,7
2057,4/1/2019,89.85,1660,8,8
2058,4/1/2019,69.95,1661,9,9
2059,4/1/2019,100,1662,10,10
2060,4/1/2019,77.7,1663,11,11
2061,4/1/2019,311.3,1664,12,12
2062,4/1/2019,79.8,1665,13,13
2063,4/1/2019,284.4,1666,14,14
2064,4/1/2019,122.19,1667,15,15
2065,4/1/2019,100,1668,16,16
2066,4/1/2019,59.85,1669,1,17
2067,4/1/2019,247.45,1670,2,18
2068,4/1/2019,568.35,1671,3,19
2069,4/1/2019,149.75,1672,4,20
2070,4/1/2019,131.4,154,5,21
2071,4/1/2019,489.3,971,6,22
2072,4/1/2019,139.65,851,7,23
2073,4/1/2019,92.7,335,8,24
2074,4/1/2019,26.55,17,9,25
2075,4/1/2019,159.6,1551,10,1
2076,4/1/2019,252.7,1403,11,2
2077,4/1/2019,155.65,102,12,3
2078,4/1/2019,399.55,1066,13,4
2079,4/2/2019,67.5,1673,14,5
2080,4/2/2019,1079.1,1674,15,6
2081,4/2/2019,59.8,1675,16,7
2082,4/2/2019,599.5,1676,1,8
2083,4/2/2019,449.55,1677,2,9
2084,4/2/2019,99.9,1678,3,10
2085,4/2/2019,224.8,1679,4,11
2086,4/2/2019,79.8,1680,5,12
2087,4/2/2019,378.4,1681,6,13
2088,4/2/2019,51.8,1682,7,14
2089,4/2/2019,216.45,1683,8,15
2090,4/2/2019,320.45,1684,9,16
2091,4/2/2019,50.9,1685,10,17
2092,4/2/2019,39.9,1686,11,18
2093,4/2/2019,104.65,1687,12,19
2094,4/2/2019,449.55,1688,13,20
2095,4/2/2019,317.15,1689,14,21
2096,4/2/2019,171.35,1690,15,22
2097,4/2/2019,19.95,1691,16,23
2098,4/2/2019,122.02,1692,1,24
2099,4/2/2019,411.5,1693,2,25
2100,4/2/2019,402.45,1694,3,19
2101,4/2/2019,399.6,1695,4,20
2102,4/2/2019,352.2,1696,5,21
2103,4/2/2019,164.65,1697,6,22
2104,4/2/2019,249.6,1698,7,23
2105,4/2/2019,66.75,1699,8,24
2106,4/2/2019,184.45,1700,9,25
2107,4/2/2019,305.3,1701,10,1
2108,4/2/2019,111.8,38,11,2
2109,4/2/2019,181.3,290,12,3
2110,4/2/2019,2.95,1030,13,4
2111,4/2/2019,203.15,84,14,5
2112,4/2/2019,579.2,1126,15,6
