InvoiceId,InvoiceDate,InvoiceAmount,CustomerId,ProductId,SalesRepId
14307,10/1/2019,99.95,10309,1,1
14308,10/1/2019,289.75,10310,2,2
14309,10/1/2019,179.55,10311,3,3
14310,10/1/2019,394.1,10312,4,4
14311,10/1/2019,397.2,10313,5,5
14312,10/1/2019,499.8,10314,6,6
14313,10/1/2019,179.55,10315,7,7
14314,10/1/2019,1000,10316,8,8
14315,10/1/2019,100,10317,9,9
14316,10/1/2019,79.8,10318,10,10
14317,10/1/2019,77.7,10319,11,11
14318,10/1/2019,330.25,10320,12,12
14319,10/1/2019,419.15,10321,13,13
14320,10/1/2019,49.75,10322,14,14
14321,10/1/2019,12.95,10323,15,15
14322,10/1/2019,119.6,10324,16,16
14323,10/1/2019,264.6,10325,1,17
14324,10/1/2019,44.85,10326,2,18
14325,10/1/2019,1195.55,10327,3,19
14326,10/1/2019,349.75,10328,4,20
14327,10/1/2019,304.55,10329,5,21
14328,10/1/2019,459.65,10330,6,22
14329,10/1/2019,289.5,10331,7,23
14330,10/1/2019,174.35,10332,8,24
14331,10/1/2019,251.55,10333,9,25
14332,10/1/2019,799.05,10334,10,1
14333,10/1/2019,159.6,10335,11,2
14334,10/1/2019,1000,10336,12,3
14335,10/1/2019,210.35,10337,13,4
14336,10/1/2019,283.65,10338,14,5
14337,10/1/2019,209.85,10339,15,6
14338,10/1/2019,580.3,10340,16,7
14339,10/1/2019,159.6,10341,1,8
14340,10/1/2019,479.55,10342,2,9
14341,10/1/2019,899.55,10343,3,10
14342,10/1/2019,179.55,10344,4,11
14343,10/1/2019,373.05,10345,5,12
14344,10/1/2019,634.55,10346,6,13
14345,10/1/2019,131.6,10347,7,14
14346,10/1/2019,99.75,10348,8,15
14347,10/1/2019,149.65,10349,9,16
14348,10/1/2019,231.45,10350,10,17
14349,10/1/2019,349.75,10351,11,18
14350,10/1/2019,254.25,10352,12,19
14351,10/1/2019,100,10353,13,20
14352,10/1/2019,520.8,10354,14,21
14353,10/1/2019,183.4,10355,15,22
14354,10/1/2019,100,10356,16,23
14355,10/1/2019,579.3,10357,1,24
14356,10/1/2019,682.1,10358,2,25
14357,10/1/2019,299.4,10359,3,19
14358,10/1/2019,824.05,10360,4,20
14359,10/1/2019,182.15,10361,5,21
14360,10/1/2019,96.65,10362,6,22
14361,10/1/2019,287.35,10363,7,23
14362,10/1/2019,133.6,10364,8,24
14363,10/1/2019,189.55,10365,9,25
14364,10/1/2019,38.85,10366,10,1
14365,10/1/2019,153.65,10367,11,2
14366,10/1/2019,159.7,10368,12,3
14367,10/1/2019,1248.85,10369,13,4
14368,10/1/2019,195.45,10370,14,5
14369,10/1/2019,276.15,10371,15,6
14370,10/1/2019,839.35,10372,16,7
14371,10/1/2019,269.35,10373,1,8
14372,10/1/2019,139.65,10374,2,9
14373,10/1/2019,179.55,10375,3,10
14374,10/1/2019,12.95,10376,4,11
14375,10/1/2019,79.75,10377,5,19
14376,10/1/2019,59.8,3880,6,20
14377,10/1/2019,193.6,4806,7,21
14378,10/1/2019,708.65,1126,8,22
14379,10/1/2019,49.75,5721,9,23
14380,10/1/2019,313.9,8331,10,24
14381,10/1/2019,719.3,6173,11,25
14382,10/1/2019,123.75,8009,12,1
14383,10/1/2019,60.85,3614,13,2
14384,10/1/2019,233.25,5196,14,3
14385,10/2/2019,663.3,10378,15,4
14386,10/2/2019,99.8,10379,16,5
14387,10/2/2019,59.85,10380,1,6
14388,10/2/2019,239.6,10381,2,7
14389,10/2/2019,1051.8,10382,3,8
14390,10/2/2019,413.1,10383,4,9
14391,10/2/2019,83.85,10384,5,10
14392,10/2/2019,77.7,10385,6,11
14393,10/2/2019,799.6,10386,7,10
14394,10/2/2019,439.15,10387,8,11
14395,10/2/2019,344.2,10388,9,12
14396,10/2/2019,299.15,10389,10,13
14397,10/2/2019,275.4,10390,11,14
14398,10/2/2019,103.6,10391,12,10
14399,10/2/2019,495.3,10392,13,11
14400,10/2/2019,369.65,10393,14,12
14401,10/2/2019,270.2,10394,15,13
14402,10/2/2019,89.7,10395,16,14
14403,10/2/2019,179.55,10396,1,10
14404,10/2/2019,139.65,10397,2,11
14405,10/2/2019,379.62,10398,3,12
14406,10/2/2019,479.5,10399,4,13
14407,10/2/2019,59.8,10400,5,14
14408,10/2/2019,124.75,10401,6,1
14409,10/2/2019,1104.3,10402,7,2
14410,10/2/2019,254.05,10403,8,3
14411,10/2/2019,130.65,10404,9,4
14412,10/2/2019,404.55,10405,10,5
14413,10/2/2019,523.3,10406,11,6
14414,10/2/2019,459.5,10407,12,7
14415,10/2/2019,158.8,10408,13,8
14416,10/2/2019,154.6,10409,14,9
14417,10/2/2019,124.75,10410,15,10
14418,10/2/2019,613.05,10411,16,11
14419,10/2/2019,500.2,10412,1,12
14420,10/2/2019,164.65,10413,2,13
14421,10/2/2019,139.75,10414,3,14
14422,10/2/2019,289.55,10415,4,15
14423,10/2/2019,19.95,10416,5,16
14424,10/2/2019,409.5,10417,6,17
14425,10/2/2019,14.95,10418,7,18
14426,10/2/2019,288.85,10419,8,19
14427,10/2/2019,153.65,10420,9,20
14428,10/2/2019,662.7,10421,10,21
14429,10/2/2019,739.35,10422,11,22
14430,10/2/2019,104.65,10423,12,23
14431,10/2/2019,379.3,10424,13,24
14432,10/2/2019,61.85,10425,14,25
14433,10/2/2019,218.4,10426,15,1
14434,10/2/2019,360.2,10427,16,2
14435,10/2/2019,79.65,10428,1,3
14436,10/2/2019,197.4,10429,2,4
14437,10/2/2019,84.85,10430,3,5
14438,10/2/2019,260.35,10431,4,6
14439,10/2/2019,227.4,10432,5,7
14440,10/2/2019,120.65,10433,6,8
14441,10/2/2019,25.9,10434,7,9
14442,10/2/2019,209.85,10435,8,10
14443,10/2/2019,84.8,10436,9,11
14444,10/2/2019,1085.05,10437,10,12
14445,10/2/2019,629.55,10438,11,13
14446,10/2/2019,524.4,10439,12,14
14447,10/2/2019,959.85,10440,13,15
14448,10/2/2019,167.7,10441,14,16
14449,10/2/2019,390.25,10442,15,17
14450,10/2/2019,73.75,10201,16,18
14451,10/2/2019,145.8,9092,1,19
14452,10/2/2019,99.75,2935,2,20
14453,10/2/2019,19.95,7109,3,21
14454,10/2/2019,279.8,1196,4,22
14455,10/2/2019,433.15,6721,5,23
14456,10/2/2019,236.25,6540,6,24
14457,10/2/2019,176.35,3399,7,25
14458,10/2/2019,131.8,8500,8,19
14459,10/2/2019,139.65,4465,9,20
14460,10/2/2019,269.55,3199,10,21
14461,10/2/2019,65.85,2500,11,22
14462,10/2/2019,119.8,1286,12,23
14463,10/2/2019,77.7,7619,13,24
14464,10/2/2019,179.55,1403,14,25
14465,10/2/2019,609.35,5280,15,1
14466,10/2/2019,167.7,2322,16,2
14467,10/2/2019,40.9,4278,1,3
14468,10/2/2019,222.15,399,2,4
14469,10/2/2019,119.6,7998,3,5
14470,10/2/2019,287.5,2640,4,6
14471,10/2/2019,97.3,7194,5,7
14472,10/2/2019,249.5,4873,6,8
14473,10/2/2019,699.25,6417,7,9
14474,10/2/2019,60.9,2007,8,10
14475,10/2/2019,270.85,5114,9,11
14476,10/2/2019,552.85,4199,10,19
14477,10/2/2019,99.75,5513,11,20
14478,10/2/2019,520.55,7142,12,21
14479,10/2/2019,206.5,10235,13,22
14480,10/2/2019,2,1811,14,23
14481,10/2/2019,199.9,4742,15,24
14482,10/2/2019,564.5,4228,16,25
14483,10/2/2019,126.6,3597,1,1
14484,10/2/2019,94.6,4796,2,2
14485,10/2/2019,129.8,4555,3,3
14486,10/2/2019,25.9,2466,4,4
14487,10/2/2019,738.9,9240,5,5
14488,10/2/2019,159.6,309,6,6
14489,10/2/2019,292.15,3103,7,7
14490,10/2/2019,629.6,5741,8,8
14491,10/2/2019,252.25,5787,9,9
14492,10/2/2019,51.8,5741,10,10
14493,10/2/2019,79.8,6172,11,11
14494,10/2/2019,200.7,7524,12,10
14495,10/2/2019,375.65,786,13,11
14496,10/2/2019,174.65,2709,14,12
14497,10/2/2019,259.35,1657,15,13
14498,10/2/2019,406,6233,16,14
14499,10/2/2019,123.55,2782,1,10
14500,10/2/2019,151.6,3230,2,11
14501,10/2/2019,185.55,9339,3,12
14502,10/2/2019,455,3204,4,13
14503,10/2/2019,594.3,4902,5,14
14504,10/2/2019,1265.75,8639,6,10
14505,10/2/2019,374.2,4102,7,11
14506,10/3/2019,112.95,10443,8,12
14507,10/3/2019,467.15,10444,9,13
14508,10/3/2019,180.25,10445,10,14
14509,10/3/2019,389.25,10446,11,1
14510,10/3/2019,269.55,10447,12,2
14511,10/3/2019,884.3,10448,13,3
14512,10/3/2019,64.75,10449,14,4
14513,10/3/2019,79.8,10450,15,5
14514,10/3/2019,639.55,10451,16,6
14515,10/3/2019,131.55,10452,1,7
14516,10/3/2019,699.9,10453,2,8
14517,10/3/2019,388.35,10454,3,9
14518,10/3/2019,374.55,10455,4,10
14519,10/3/2019,384.15,10456,5,11
14520,10/3/2019,389.65,10457,6,12
14521,10/3/2019,139.65,10458,7,13
14522,10/3/2019,313.15,10459,8,14
14523,10/3/2019,154.6,10460,9,15
14524,10/3/2019,1029.1,10461,10,16
14525,10/3/2019,539.05,10462,11,17
14526,10/3/2019,569.8,10463,12,18
14527,10/3/2019,1000,10464,13,19
14528,10/3/2019,188.5,10465,14,20
14529,10/3/2019,367.3,10466,15,21
14530,10/3/2019,139.65,10467,16,22
14531,10/3/2019,445.9,10468,1,23
14532,10/3/2019,118.65,10469,2,24
14533,10/3/2019,329.25,10470,3,25
14534,10/3/2019,503.1,10471,4,1
14535,10/3/2019,253.25,10472,5,2
14536,10/3/2019,149.7,10473,6,3
14537,10/3/2019,283.15,10474,7,4
14538,10/3/2019,243.25,10475,8,5
14539,10/3/2019,144.4,10476,9,6
14540,10/3/2019,518.4,10477,10,7
14541,10/3/2019,539.45,10478,11,8
14542,10/3/2019,589.6,10479,12,9
14543,10/3/2019,39.9,10480,13,10
14544,10/3/2019,497.85,10481,14,11
14545,10/3/2019,100,10482,15,12
14546,10/3/2019,1000,10483,16,13
14547,10/3/2019,10,10484,1,14
14548,10/3/2019,49.6,10485,2,15
14549,10/3/2019,684.2,10486,3,16
14550,10/3/2019,369.3,10487,4,17
14551,10/3/2019,49.9,10488,5,18
14552,10/3/2019,659.35,10489,6,19
14553,10/3/2019,1103.6,10490,7,20
14554,10/3/2019,1236.75,10491,8,21
