InvoiceId,InvoiceDate,InvoiceAmount,CustomerId,ProductId,SalesRepId
7074,7/1/2019,199.5,5313,1,1
7075,7/1/2019,77.7,5314,2,2
7076,7/1/2019,99.75,5315,3,3
7077,7/1/2019,324.75,5316,4,4
7078,7/1/2019,28.39,5317,5,5
7079,7/1/2019,119.8,5318,6,6
7080,7/1/2019,500,5319,7,7
7081,7/1/2019,118.55,5320,8,8
7082,7/1/2019,130.6,5321,9,9
7083,7/1/2019,289.9,5322,10,10
7084,7/1/2019,383.5,5323,11,11
7085,7/1/2019,199.75,5324,12,12
7086,7/1/2019,358.23,5325,13,13
7087,7/1/2019,1274.95,5326,14,14
7088,7/1/2019,358.85,5327,15,15
7089,7/1/2019,25,5328,16,16
7090,7/1/2019,165.65,5329,1,17
7091,7/1/2019,309.2,5330,2,18
7092,7/1/2019,250,5331,3,19
7093,7/1/2019,139.6,5332,4,20
7094,7/1/2019,1349.75,5333,5,21
7095,7/1/2019,134.55,5334,6,22
7096,7/1/2019,519.55,5335,7,23
7097,7/1/2019,24.95,5336,8,24
7098,7/1/2019,109.75,5337,9,25
7099,7/1/2019,394.2,5338,10,1
7100,7/1/2019,1043.9,5339,11,2
7101,7/1/2019,604.55,5340,12,3
7102,7/1/2019,285.5,5341,13,4
7103,7/1/2019,422.19,5342,14,5
7104,7/1/2019,1339.85,5343,15,6
7105,7/1/2019,143.5,2598,16,7
7106,7/1/2019,159.6,3718,1,8
7107,7/1/2019,418.8,2063,2,9
7108,7/1/2019,323.5,4291,3,10
7109,7/1/2019,130.55,575,4,11
7110,7/1/2019,252.5,1633,5,12
7111,7/1/2019,161.55,4146,6,13
7112,7/2/2019,90.65,5344,7,14
7113,7/2/2019,77.7,5345,8,15
7114,7/2/2019,185.5,5346,9,16
7115,7/2/2019,1019.05,5347,10,17
7116,7/2/2019,197.6,5348,11,18
7117,7/2/2019,248.5,5349,12,19
7118,7/2/2019,1077.7,5350,13,20
7119,7/2/2019,559.6,5351,14,21
7120,7/2/2019,1848.85,5352,15,22
7121,7/2/2019,619.45,5353,16,23
7122,7/2/2019,189.8,5354,1,24
7123,7/2/2019,177.45,5355,2,25
7124,7/2/2019,524.75,5356,3,19
7125,7/2/2019,271.4,5357,4,20
7126,7/2/2019,100,5358,5,21
7127,7/2/2019,1351.55,5359,6,22
7128,7/2/2019,909.1,5360,7,23
7129,7/2/2019,369.1,5361,8,24
7130,7/2/2019,197.55,5362,9,25
7131,7/2/2019,139.65,5363,10,1
7132,7/2/2019,229.5,5364,11,2
7133,7/2/2019,29.9,5365,12,3
7134,7/2/2019,229.65,5366,13,4
7135,7/2/2019,234.55,5367,14,5
7136,7/2/2019,105.9,5368,15,6
7137,7/2/2019,38.85,5369,16,7
7138,7/2/2019,336,5370,1,8
7139,7/2/2019,132.65,5371,2,9
7140,7/2/2019,51.8,5372,3,10
7141,7/2/2019,269.55,5373,4,11
7142,7/2/2019,147.5,5374,5,19
7143,7/2/2019,250,5375,6,20
7144,7/2/2019,159.9,5376,7,21
7145,7/2/2019,1100,5377,8,22
7146,7/2/2019,36.8,5378,9,23
7147,7/2/2019,444.25,5379,10,24
7148,7/2/2019,169.75,5380,11,25
7149,7/2/2019,49.75,5381,12,1
7150,7/2/2019,1084.8,5382,13,2
7151,7/2/2019,629.55,5383,14,3
7152,7/2/2019,114.8,4215,15,4
7153,7/2/2019,486.4,4539,16,5
7154,7/2/2019,168.35,5192,1,6
7155,7/3/2019,25.9,5384,2,7
7156,7/3/2019,89.85,5385,3,8
7157,7/3/2019,231.2,5386,4,9
7158,7/3/2019,1039.15,5387,5,10
7159,7/3/2019,209.4,5388,6,11
7160,7/3/2019,10,5389,7,10
7161,7/3/2019,551.8,5390,8,11
7162,7/3/2019,362.7,5391,9,12
7163,7/3/2019,165.85,5392,10,13
7164,7/3/2019,339.7,5393,11,14
7165,7/3/2019,799.6,5394,12,10
7166,7/3/2019,1119,5395,13,11
7167,7/3/2019,284.25,5396,14,12
7168,7/3/2019,1029.95,5397,15,13
7169,7/3/2019,702.6,5398,16,14
7170,7/3/2019,1119.15,5399,1,10
